id,query,category,ablation,mode,route,retrieved_node_count,retrieved_chunk_count,retrieved_edge_count,faithfulness,answer_relevance,context_precision,context_recall,graph_path_recall,evidence_chain_completeness,citation_accuracy,conflict_awareness,latency_ms,cost_usd_estimate,required_node_recall,required_edge_recall,path_validity,provenance_coverage,merge_quality,staleness_detection
ENT-01,What evidence does SignalGraph have for GraphRAG paper?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.741,1.0,0.0,0.2,0.143,1.0,0.8,2.204,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-01,What evidence does SignalGraph have for GraphRAG paper?,entity-specific,hybrid,hybrid,hybrid,7,3,3,1.0,0.741,1.0,0.0,0.6,0.714,1.0,0.8,63.342,0.0,0.0,0.333,1.0,1.0,1.0,1.0
ENT-01,What evidence does SignalGraph have for GraphRAG paper?,entity-specific,local,local,local,10,3,5,1.0,0.741,1.0,0.5,1.0,1.0,1.0,0.8,142.319,0.0,0.5,0.333,1.0,1.0,1.0,1.0
ENT-01,What evidence does SignalGraph have for GraphRAG paper?,entity-specific,global,global,global,4,0,1,1.0,0.0,0.25,0.0,0.0,0.429,1.0,0.8,2.501,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-01,What evidence does SignalGraph have for GraphRAG paper?,entity-specific,DRIFT-style,drift,drift,9,3,5,1.0,0.494,1.0,0.0,1.0,0.714,1.0,0.8,286.578,0.0,0.0,0.333,1.0,1.0,1.0,1.0
ENT-01,What evidence does SignalGraph have for GraphRAG paper?,entity-specific,best-route,hybrid,hybrid,7,3,3,1.0,0.741,1.0,0.0,0.6,0.714,1.0,0.8,62.035,0.0,0.0,0.333,1.0,1.0,1.0,1.0
ENT-02,What evidence does SignalGraph have for Microsoft GraphRAG repo?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.741,1.0,0.0,0.2,0.143,1.0,1.0,2.124,0.0,0.0,0.0,1.0,1.0,1.0,0.8
ENT-02,What evidence does SignalGraph have for Microsoft GraphRAG repo?,entity-specific,hybrid,hybrid,hybrid,6,2,2,1.0,0.741,1.0,0.5,0.8,0.714,1.0,1.0,49.91,0.0,0.5,0.0,1.0,1.0,1.0,0.8
ENT-02,What evidence does SignalGraph have for Microsoft GraphRAG repo?,entity-specific,local,local,local,8,2,5,1.0,0.741,1.0,0.5,1.0,1.0,1.0,1.0,115.023,0.0,0.5,0.667,1.0,1.0,1.0,0.8
ENT-02,What evidence does SignalGraph have for Microsoft GraphRAG repo?,entity-specific,global,global,global,4,0,1,1.0,0.0,0.25,0.0,0.0,0.429,1.0,0.3,2.438,0.0,0.0,0.0,1.0,1.0,1.0,0.8
ENT-02,What evidence does SignalGraph have for Microsoft GraphRAG repo?,entity-specific,DRIFT-style,drift,drift,9,3,5,1.0,0.494,1.0,0.0,1.0,0.714,1.0,1.0,280.853,0.0,0.0,0.333,1.0,1.0,1.0,1.0
ENT-02,What evidence does SignalGraph have for Microsoft GraphRAG repo?,entity-specific,best-route,hybrid,hybrid,6,2,2,1.0,0.741,1.0,0.5,0.8,0.714,1.0,1.0,49.224,0.0,0.5,0.0,1.0,1.0,1.0,0.8
ENT-03,What evidence does SignalGraph have for MemGPT paper?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.494,1.0,0.0,0.2,0.143,1.0,0.8,2.14,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-03,What evidence does SignalGraph have for MemGPT paper?,entity-specific,hybrid,hybrid,hybrid,8,3,3,1.0,0.494,1.0,0.5,0.8,0.714,1.0,0.8,61.069,0.0,0.5,0.333,1.0,1.0,1.0,1.0
ENT-03,What evidence does SignalGraph have for MemGPT paper?,entity-specific,local,local,local,8,3,3,1.0,0.494,1.0,0.5,0.6,1.0,1.0,0.8,162.814,0.0,0.5,0.333,1.0,1.0,1.0,1.0
ENT-03,What evidence does SignalGraph have for MemGPT paper?,entity-specific,global,global,global,4,0,1,1.0,0.0,0.25,0.0,0.0,0.429,1.0,0.8,3.541,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-03,What evidence does SignalGraph have for MemGPT paper?,entity-specific,DRIFT-style,drift,drift,9,3,5,1.0,0.247,1.0,0.5,1.0,0.714,1.0,0.8,294.145,0.0,0.5,0.333,1.0,1.0,1.0,1.0
ENT-03,What evidence does SignalGraph have for MemGPT paper?,entity-specific,best-route,hybrid,hybrid,8,3,3,1.0,0.494,1.0,0.5,0.8,0.714,1.0,0.8,60.478,0.0,0.5,0.333,1.0,1.0,1.0,1.0
ENT-04,What evidence does SignalGraph have for cpacker MemGPT repo?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.494,1.0,0.0,0.2,0.143,1.0,1.0,2.033,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-04,What evidence does SignalGraph have for cpacker MemGPT repo?,entity-specific,hybrid,hybrid,hybrid,8,2,5,1.0,0.494,1.0,0.5,0.8,1.0,1.0,1.0,40.931,0.0,0.5,0.667,1.0,1.0,1.0,0.8
ENT-04,What evidence does SignalGraph have for cpacker MemGPT repo?,entity-specific,local,local,local,11,2,6,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,90.577,0.0,0.5,0.333,1.0,1.0,1.0,0.8
ENT-04,What evidence does SignalGraph have for cpacker MemGPT repo?,entity-specific,global,global,global,4,0,1,1.0,0.0,0.25,0.0,0.0,0.429,1.0,0.3,2.443,0.0,0.0,0.0,1.0,1.0,1.0,0.8
ENT-04,What evidence does SignalGraph have for cpacker MemGPT repo?,entity-specific,DRIFT-style,drift,drift,10,3,5,1.0,0.247,1.0,1.0,0.8,0.714,1.0,1.0,286.484,0.0,1.0,0.333,1.0,1.0,1.0,1.0
ENT-04,What evidence does SignalGraph have for cpacker MemGPT repo?,entity-specific,best-route,hybrid,hybrid,8,2,5,1.0,0.494,1.0,0.5,0.8,1.0,1.0,1.0,40.68,0.0,0.5,0.667,1.0,1.0,1.0,0.8
ENT-05,What evidence does SignalGraph have for RAG evaluation paper?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.247,1.0,0.0,0.2,0.143,1.0,0.8,2.149,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-05,What evidence does SignalGraph have for RAG evaluation paper?,entity-specific,hybrid,hybrid,hybrid,8,2,5,1.0,0.494,1.0,0.5,0.8,1.0,1.0,0.8,56.705,0.0,0.5,0.333,1.0,1.0,1.0,1.0
ENT-05,What evidence does SignalGraph have for RAG evaluation paper?,entity-specific,local,local,local,11,1,6,1.0,0.247,1.0,0.5,0.6,1.0,1.0,0.8,244.773,0.0,0.5,0.667,1.0,1.0,1.0,1.0
ENT-05,What evidence does SignalGraph have for RAG evaluation paper?,entity-specific,global,global,global,4,0,1,1.0,0.247,0.25,0.0,0.0,0.429,1.0,0.8,2.394,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-05,What evidence does SignalGraph have for RAG evaluation paper?,entity-specific,DRIFT-style,drift,drift,10,2,5,1.0,0.494,1.0,0.0,0.8,1.0,1.0,0.8,281.543,0.0,0.0,0.333,1.0,1.0,1.0,1.0
ENT-05,What evidence does SignalGraph have for RAG evaluation paper?,entity-specific,best-route,hybrid,hybrid,8,2,5,1.0,0.494,1.0,0.5,0.8,1.0,1.0,0.8,56.135,0.0,0.5,0.333,1.0,1.0,1.0,1.0
ENT-06,What evidence does SignalGraph have for SignalGraph agent-memory repo?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.741,1.0,0.0,0.2,0.143,1.0,1.0,2.318,0.0,0.0,0.0,1.0,1.0,1.0,0.8
ENT-06,What evidence does SignalGraph have for SignalGraph agent-memory repo?,entity-specific,hybrid,hybrid,hybrid,9,4,5,1.0,0.494,1.0,0.0,0.6,1.0,1.0,1.0,58.041,0.0,0.0,0.333,1.0,1.0,1.0,0.8
ENT-06,What evidence does SignalGraph have for SignalGraph agent-memory repo?,entity-specific,local,local,local,10,3,5,1.0,0.494,1.0,0.0,0.6,1.0,1.0,1.0,137.201,0.0,0.0,0.333,1.0,1.0,1.0,0.8
ENT-06,What evidence does SignalGraph have for SignalGraph agent-memory repo?,entity-specific,global,global,global,4,0,1,1.0,0.0,0.25,0.0,0.0,0.429,1.0,0.3,2.57,0.0,0.0,0.0,1.0,1.0,1.0,0.8
ENT-06,What evidence does SignalGraph have for SignalGraph agent-memory repo?,entity-specific,DRIFT-style,drift,drift,10,3,5,1.0,0.247,1.0,0.5,1.0,0.714,1.0,1.0,295.83,0.0,0.5,0.333,1.0,1.0,1.0,1.0
ENT-06,What evidence does SignalGraph have for SignalGraph agent-memory repo?,entity-specific,best-route,hybrid,hybrid,9,4,5,1.0,0.494,1.0,0.0,0.6,1.0,1.0,1.0,62.113,0.0,0.0,0.333,1.0,1.0,1.0,0.8
ENT-07,What evidence does SignalGraph have for Graph-aware agent memory paper?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.404,1.0,0.0,0.2,0.143,1.0,0.8,2.385,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-07,What evidence does SignalGraph have for Graph-aware agent memory paper?,entity-specific,hybrid,hybrid,hybrid,8,2,4,1.0,0.808,1.0,0.5,1.0,0.714,1.0,0.8,57.388,0.0,0.5,0.0,1.0,1.0,1.0,1.0
ENT-07,What evidence does SignalGraph have for Graph-aware agent memory paper?,entity-specific,local,local,local,8,2,4,1.0,0.404,1.0,0.5,0.8,0.714,1.0,0.8,132.61,0.0,0.5,0.333,1.0,1.0,1.0,1.0
ENT-07,What evidence does SignalGraph have for Graph-aware agent memory paper?,entity-specific,global,global,global,4,0,1,1.0,0.606,0.25,0.0,0.0,0.429,1.0,0.8,2.566,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-07,What evidence does SignalGraph have for Graph-aware agent memory paper?,entity-specific,DRIFT-style,drift,drift,10,1,5,1.0,0.606,1.0,0.5,1.0,1.0,1.0,0.8,286.233,0.0,0.5,0.0,1.0,1.0,1.0,1.0
ENT-07,What evidence does SignalGraph have for Graph-aware agent memory paper?,entity-specific,best-route,hybrid,hybrid,8,2,4,1.0,0.808,1.0,0.5,1.0,0.714,1.0,0.8,57.847,0.0,0.5,0.0,1.0,1.0,1.0,1.0
ENT-08,What evidence does SignalGraph have for GraphRAG Foundations paper?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.667,1.0,0.0,0.2,0.143,1.0,0.8,2.218,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-08,What evidence does SignalGraph have for GraphRAG Foundations paper?,entity-specific,hybrid,hybrid,hybrid,6,2,4,1.0,0.667,1.0,0.5,0.6,0.714,1.0,0.8,52.764,0.0,0.5,0.0,1.0,1.0,1.0,1.0
ENT-08,What evidence does SignalGraph have for GraphRAG Foundations paper?,entity-specific,local,local,local,10,2,5,1.0,0.889,1.0,0.5,0.8,0.714,1.0,0.8,141.204,0.0,0.5,0.5,1.0,1.0,1.0,1.0
ENT-08,What evidence does SignalGraph have for GraphRAG Foundations paper?,entity-specific,global,global,global,4,0,1,1.0,0.0,0.25,0.0,0.0,0.429,1.0,0.8,2.597,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-08,What evidence does SignalGraph have for GraphRAG Foundations paper?,entity-specific,DRIFT-style,drift,drift,9,3,5,1.0,0.444,1.0,0.0,1.0,0.714,1.0,0.8,281.538,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-08,What evidence does SignalGraph have for GraphRAG Foundations paper?,entity-specific,best-route,hybrid,hybrid,6,2,4,1.0,0.667,1.0,0.5,0.6,0.714,1.0,0.8,53.97,0.0,0.5,0.0,1.0,1.0,1.0,1.0
ENT-09,What evidence does SignalGraph have for Repository Exploration Agents paper?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.606,1.0,0.0,0.2,0.143,1.0,0.8,2.306,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-09,What evidence does SignalGraph have for Repository Exploration Agents paper?,entity-specific,hybrid,hybrid,hybrid,6,1,4,1.0,0.808,1.0,0.5,0.6,0.714,1.0,0.8,46.726,0.0,0.5,0.5,1.0,1.0,1.0,1.0
ENT-09,What evidence does SignalGraph have for Repository Exploration Agents paper?,entity-specific,local,local,local,8,1,6,1.0,0.606,1.0,0.5,0.6,0.714,1.0,0.8,109.134,0.0,0.5,0.5,1.0,1.0,1.0,1.0
ENT-09,What evidence does SignalGraph have for Repository Exploration Agents paper?,entity-specific,global,global,global,4,0,1,1.0,0.0,0.25,0.0,0.0,0.429,1.0,0.8,2.478,0.0,0.0,0.5,1.0,1.0,1.0,1.0
ENT-09,What evidence does SignalGraph have for Repository Exploration Agents paper?,entity-specific,DRIFT-style,drift,drift,10,2,5,1.0,0.404,1.0,0.0,0.8,1.0,1.0,0.8,288.3,0.0,0.0,0.5,1.0,1.0,1.0,1.0
ENT-09,What evidence does SignalGraph have for Repository Exploration Agents paper?,entity-specific,best-route,hybrid,hybrid,6,1,4,1.0,0.808,1.0,0.5,0.6,0.714,1.0,0.8,46.367,0.0,0.5,0.5,1.0,1.0,1.0,1.0
ENT-10,What evidence does SignalGraph have for GraphRAG method node?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.833,1.0,0.0,0.2,0.143,1.0,0.8,2.165,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-10,What evidence does SignalGraph have for GraphRAG method node?,entity-specific,hybrid,hybrid,hybrid,7,3,3,1.0,0.833,1.0,0.5,0.6,0.714,1.0,0.8,59.121,0.0,0.5,0.5,1.0,1.0,1.0,1.0
ENT-10,What evidence does SignalGraph have for GraphRAG method node?,entity-specific,local,local,local,10,3,5,1.0,0.833,1.0,0.5,1.0,1.0,1.0,0.8,141.913,0.0,0.5,0.5,1.0,1.0,1.0,1.0
ENT-10,What evidence does SignalGraph have for GraphRAG method node?,entity-specific,global,global,global,4,0,1,1.0,0.0,0.25,0.5,0.0,0.429,1.0,0.8,2.418,0.0,0.5,0.5,1.0,1.0,1.0,1.0
ENT-10,What evidence does SignalGraph have for GraphRAG method node?,entity-specific,DRIFT-style,drift,drift,9,3,5,1.0,0.556,1.0,0.5,1.0,0.714,1.0,0.8,279.128,0.0,0.5,0.5,1.0,1.0,1.0,1.0
ENT-10,What evidence does SignalGraph have for GraphRAG method node?,entity-specific,best-route,hybrid,hybrid,7,3,3,1.0,0.833,1.0,0.5,0.6,0.714,1.0,0.8,58.441,0.0,0.5,0.5,1.0,1.0,1.0,1.0
ENT-11,What evidence does SignalGraph have for Agent Memory method node?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.494,1.0,0.0,0.2,0.143,1.0,0.8,2.114,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-11,What evidence does SignalGraph have for Agent Memory method node?,entity-specific,hybrid,hybrid,hybrid,8,2,4,1.0,0.741,1.0,1.0,1.0,0.714,1.0,0.8,57.891,0.0,1.0,0.5,1.0,1.0,1.0,1.0
ENT-11,What evidence does SignalGraph have for Agent Memory method node?,entity-specific,local,local,local,8,2,4,1.0,0.494,1.0,1.0,0.8,0.714,1.0,0.8,131.733,0.0,1.0,0.5,1.0,1.0,1.0,1.0
ENT-11,What evidence does SignalGraph have for Agent Memory method node?,entity-specific,global,global,global,4,0,1,1.0,0.494,0.25,0.5,0.0,0.429,1.0,0.8,2.362,0.0,0.5,0.5,1.0,1.0,1.0,1.0
ENT-11,What evidence does SignalGraph have for Agent Memory method node?,entity-specific,DRIFT-style,drift,drift,9,3,5,1.0,0.988,1.0,1.0,1.0,0.714,1.0,0.8,280.559,0.0,1.0,0.5,1.0,1.0,1.0,1.0
ENT-11,What evidence does SignalGraph have for Agent Memory method node?,entity-specific,best-route,hybrid,hybrid,8,2,4,1.0,0.741,1.0,1.0,1.0,0.714,1.0,0.8,56.909,0.0,1.0,0.5,1.0,1.0,1.0,1.0
ENT-12,What evidence does SignalGraph have for Hybrid Retrieval method node?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.988,1.0,0.0,0.2,0.143,1.0,0.8,2.067,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-12,What evidence does SignalGraph have for Hybrid Retrieval method node?,entity-specific,hybrid,hybrid,hybrid,6,4,1,1.0,0.741,1.0,0.5,0.4,0.714,1.0,0.8,63.917,0.0,0.5,0.5,1.0,1.0,1.0,1.0
ENT-12,What evidence does SignalGraph have for Hybrid Retrieval method node?,entity-specific,local,local,local,8,4,3,1.0,0.741,1.0,0.5,0.6,0.714,1.0,0.8,141.379,0.0,0.5,0.5,1.0,1.0,1.0,1.0
ENT-12,What evidence does SignalGraph have for Hybrid Retrieval method node?,entity-specific,global,global,global,4,0,1,1.0,0.247,0.25,0.5,0.0,0.429,1.0,0.8,2.696,0.0,0.5,0.5,1.0,1.0,1.0,1.0
ENT-12,What evidence does SignalGraph have for Hybrid Retrieval method node?,entity-specific,DRIFT-style,drift,drift,10,3,5,1.0,0.741,1.0,0.5,1.0,0.714,1.0,0.8,299.311,0.0,0.5,0.5,1.0,1.0,1.0,1.0
ENT-12,What evidence does SignalGraph have for Hybrid Retrieval method node?,entity-specific,best-route,hybrid,hybrid,6,4,1,1.0,0.741,1.0,0.5,0.4,0.714,1.0,0.8,62.08,0.0,0.5,0.5,1.0,1.0,1.0,1.0
ENT-13,What evidence does SignalGraph have for RAG Evaluation method node?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.833,1.0,0.0,0.2,0.143,1.0,0.8,2.035,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-13,What evidence does SignalGraph have for RAG Evaluation method node?,entity-specific,hybrid,hybrid,hybrid,5,2,2,1.0,0.833,1.0,0.5,0.6,0.714,1.0,0.8,61.159,0.0,0.5,0.5,1.0,1.0,1.0,1.0
ENT-13,What evidence does SignalGraph have for RAG Evaluation method node?,entity-specific,local,local,local,9,3,4,1.0,0.833,1.0,0.5,0.6,0.714,1.0,0.8,140.449,0.0,0.5,1.0,1.0,1.0,1.0,1.0
ENT-13,What evidence does SignalGraph have for RAG Evaluation method node?,entity-specific,global,global,global,4,0,1,1.0,0.278,0.25,0.5,0.0,0.429,1.0,0.8,2.382,0.0,0.5,0.5,1.0,1.0,1.0,1.0
ENT-13,What evidence does SignalGraph have for RAG Evaluation method node?,entity-specific,DRIFT-style,drift,drift,10,3,5,1.0,0.833,1.0,0.0,1.0,0.714,1.0,0.8,282.618,0.0,0.0,0.5,1.0,1.0,1.0,1.0
ENT-13,What evidence does SignalGraph have for RAG Evaluation method node?,entity-specific,best-route,hybrid,hybrid,5,2,2,1.0,0.833,1.0,0.5,0.6,0.714,1.0,0.8,61.147,0.0,0.5,0.5,1.0,1.0,1.0,1.0
ENT-14,What evidence does SignalGraph have for Hugging Face GraphRAG model?,entity-specific,vector-only,vector,vector,4,4,0,1.0,1.0,1.0,0.0,0.2,0.143,1.0,0.8,2.193,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-14,What evidence does SignalGraph have for Hugging Face GraphRAG model?,entity-specific,hybrid,hybrid,hybrid,7,2,3,1.0,1.0,1.0,0.0,0.6,0.714,1.0,0.8,60.863,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ENT-14,What evidence does SignalGraph have for Hugging Face GraphRAG model?,entity-specific,local,local,local,9,2,5,1.0,0.667,1.0,0.0,0.6,1.0,1.0,0.8,148.671,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ENT-14,What evidence does SignalGraph have for Hugging Face GraphRAG model?,entity-specific,global,global,global,4,0,1,1.0,0.0,0.25,0.0,0.0,0.429,1.0,0.8,2.367,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ENT-14,What evidence does SignalGraph have for Hugging Face GraphRAG model?,entity-specific,DRIFT-style,drift,drift,10,3,5,1.0,0.444,1.0,0.0,1.0,0.714,1.0,0.8,288.552,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ENT-14,What evidence does SignalGraph have for Hugging Face GraphRAG model?,entity-specific,best-route,hybrid,hybrid,7,2,3,1.0,1.0,1.0,0.0,0.6,0.714,1.0,0.8,59.086,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ENT-15,What evidence does SignalGraph have for Agent memory eval dataset?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.667,1.0,0.0,0.2,0.143,1.0,0.8,2.013,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-15,What evidence does SignalGraph have for Agent memory eval dataset?,entity-specific,hybrid,hybrid,hybrid,7,2,2,1.0,0.889,1.0,0.5,0.8,1.0,1.0,0.8,64.695,0.0,0.5,1.0,1.0,1.0,1.0,1.0
ENT-15,What evidence does SignalGraph have for Agent memory eval dataset?,entity-specific,local,local,local,11,2,6,1.0,0.667,1.0,0.5,0.8,1.0,1.0,0.8,160.789,0.0,0.5,1.0,1.0,1.0,1.0,1.0
ENT-15,What evidence does SignalGraph have for Agent memory eval dataset?,entity-specific,global,global,global,4,0,1,1.0,0.444,0.25,0.5,0.0,0.429,1.0,0.8,2.469,0.0,0.5,1.0,1.0,1.0,1.0,1.0
ENT-15,What evidence does SignalGraph have for Agent memory eval dataset?,entity-specific,DRIFT-style,drift,drift,10,1,5,1.0,0.667,1.0,0.5,1.0,1.0,1.0,0.8,288.628,0.0,0.5,1.0,1.0,1.0,1.0,1.0
ENT-15,What evidence does SignalGraph have for Agent memory eval dataset?,entity-specific,best-route,hybrid,hybrid,7,2,2,1.0,0.889,1.0,0.5,0.8,1.0,1.0,0.8,64.161,0.0,0.5,1.0,1.0,1.0,1.0,1.0
CMP-01,Compare GraphRAG and agent memory for production retrieval decisions.,comparison,vector-only,vector,vector,4,3,0,1.0,0.494,1.0,0.0,0.4,0.143,1.0,0.8,2.237,0.0,0.0,0.0,1.0,1.0,1.0,1.0
CMP-01,Compare GraphRAG and agent memory for production retrieval decisions.,comparison,hybrid,hybrid,hybrid,5,3,2,1.0,0.988,1.0,0.0,0.4,0.714,1.0,0.8,61.191,0.0,0.0,0.5,1.0,1.0,1.0,1.0
CMP-01,Compare GraphRAG and agent memory for production retrieval decisions.,comparison,local,local,local,10,2,6,1.0,0.494,1.0,0.0,0.8,0.714,1.0,0.8,139.714,0.0,0.0,0.5,1.0,1.0,1.0,1.0
CMP-01,Compare GraphRAG and agent memory for production retrieval decisions.,comparison,global,global,global,4,0,1,1.0,0.741,1.0,0.0,0.0,0.429,1.0,0.8,2.609,0.0,0.0,0.5,1.0,1.0,1.0,1.0
CMP-01,Compare GraphRAG and agent memory for production retrieval decisions.,comparison,DRIFT-style,drift,drift,8,2,5,1.0,0.741,1.0,0.5,0.8,1.0,1.0,0.8,285.479,0.0,0.5,0.5,1.0,1.0,1.0,1.0
CMP-01,Compare GraphRAG and agent memory for production retrieval decisions.,comparison,best-route,hybrid,comparison,5,3,2,1.0,0.988,1.0,0.0,0.4,0.714,1.0,0.8,58.026,0.0,0.0,0.5,1.0,1.0,1.0,1.0
CMP-02,Compare vector-only RAG and GraphRAG for production retrieval decisions.,comparison,vector-only,vector,vector,4,4,0,1.0,0.741,1.0,0.0,0.2,0.143,1.0,0.8,2.275,0.0,0.0,0.0,1.0,1.0,1.0,1.0
CMP-02,Compare vector-only RAG and GraphRAG for production retrieval decisions.,comparison,hybrid,hybrid,hybrid,8,3,5,1.0,0.988,1.0,0.5,0.8,0.714,1.0,0.8,68.577,0.0,0.5,0.5,1.0,1.0,1.0,1.0
CMP-02,Compare vector-only RAG and GraphRAG for production retrieval decisions.,comparison,local,local,local,11,3,6,1.0,0.988,1.0,0.5,1.0,1.0,1.0,0.8,137.288,0.0,0.5,0.5,1.0,1.0,1.0,1.0
CMP-02,Compare vector-only RAG and GraphRAG for production retrieval decisions.,comparison,global,global,global,4,0,1,1.0,0.741,1.0,0.0,0.0,0.429,1.0,0.8,2.508,0.0,0.0,0.0,1.0,1.0,1.0,1.0
CMP-02,Compare vector-only RAG and GraphRAG for production retrieval decisions.,comparison,DRIFT-style,drift,drift,9,2,6,1.0,0.741,1.0,0.0,1.0,0.714,1.0,0.8,290.292,0.0,0.0,0.5,1.0,1.0,1.0,1.0
CMP-02,Compare vector-only RAG and GraphRAG for production retrieval decisions.,comparison,best-route,hybrid,comparison,8,3,5,1.0,0.988,1.0,0.5,0.8,0.714,1.0,0.8,67.488,0.0,0.5,0.5,1.0,1.0,1.0,1.0
CMP-03,Compare community detection and hybrid retrieval for production retrieval decisions.,comparison,vector-only,vector,vector,4,3,0,1.0,0.247,1.0,0.0,0.4,0.143,1.0,0.8,2.036,0.0,0.0,0.0,1.0,1.0,1.0,1.0
